image_id,active_attributes,active_attribute_names
1947,"[8, 11, 14, 21, 23, 26, 36, 38, 49, 55, 70, 72, 73, 76, 81, 101, 119, 134, 146, 152, 166, 169, 182, 187, 207, 222, 236, 239, 262, 265, 284, 307, 312]","[""has_bill_shape::cone"", ""has_wing_color::brown"", ""has_wing_color::rufous"", ""has_wing_color::black"", ""has_wing_color::red"", ""has_upperparts_color::brown"", ""has_upperparts_color::black"", ""has_upperparts_color::red"", ""has_underparts_color::pink"", ""has_breast_pattern::solid"", ""has_back_color::black"", ""has_back_color::red"", ""has_back_color::buff"", ""has_tail_shape::notched_tail"", ""has_upper_tail_color::brown"", ""has_head_pattern::eyering"", ""has_breast_color::red"", ""has_throat_color::red"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::red"", ""has_under_tail_color::brown"", ""has_under_tail_color::buff"", ""has_nape_color::rufous"", ""has_belly_color::pink"", ""has_size::very_small_(3_-_5_in)"", ""has_shape::perching-like"", ""has_back_pattern::striped"", ""has_primary_color::red"", ""has_leg_color::brown"", ""has_bill_color::grey"", ""has_crown_color::red"", ""has_wing_pattern::multi-colored""]"
1948,"[8, 11, 23, 26, 35, 53, 54, 57, 72, 79, 93, 102, 119, 134, 146, 152, 166, 181, 182, 196, 212, 213, 222, 236, 239, 241, 247, 250, 262, 277, 293, 307, 312]","[""has_bill_shape::cone"", ""has_wing_color::brown"", ""has_wing_color::red"", ""has_upperparts_color::brown"", ""has_upperparts_color::orange"", ""has_underparts_color::red"", ""has_underparts_color::buff"", ""has_breast_pattern::striped"", ""has_back_color::red"", ""has_tail_shape::squared_tail"", ""has_upper_tail_color::red"", ""has_head_pattern::plain"", ""has_breast_color::red"", ""has_throat_color::red"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::red"", ""has_under_tail_color::red"", ""has_under_tail_color::buff"", ""has_nape_color::red"", ""has_belly_color::buff"", ""has_wing_shape::rounded-wings"", ""has_size::very_small_(3_-_5_in)"", ""has_shape::perching-like"", ""has_back_pattern::striped"", ""has_tail_pattern::solid"", ""has_belly_pattern::striped"", ""has_primary_color::brown"", ""has_primary_color::red"", ""has_leg_color::red"", ""has_bill_color::buff"", ""has_crown_color::red"", ""has_wing_pattern::multi-colored""]"
1949,"[8, 11, 14, 23, 24, 26, 29, 36, 38, 44, 52, 53, 54, 56, 76, 97, 110, 118, 119, 120, 125, 133, 134, 135, 137, 146, 152, 157, 164, 166, 173, 180, 181, 182, 184, 187, 194, 197, 202, 210, 211, 212, 219, 236, 246, 250, 253, 262, 263, 265, 268, 275, 277, 280, 284, 293, 298, 305, 307, 311]","[""has_bill_shape::cone"", ""has_wing_color::brown"", ""has_wing_color::rufous"", ""has_wing_color::red"", ""has_wing_color::buff"", ""has_upperparts_color::brown"", ""has_upperparts_color::rufous"", ""has_upperparts_color::black"", ""has_upperparts_color::red"", ""has_underparts_color::rufous"", ""has_underparts_color::white"", ""has_underparts_color::red"", ""has_underparts_color::buff"", ""has_breast_pattern::spotted"", ""has_tail_shape::notched_tail"", ""has_head_pattern::crested"", ""has_breast_color::rufous"", ""has_breast_color::white"", ""has_breast_color::red"", ""has_breast_color::buff"", ""has_throat_color::rufous"", ""has_throat_color::white"", ""has_throat_color::red"", ""has_throat_color::buff"", ""has_eye_color::brown"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::rufous"", ""has_forehead_color::black"", ""has_forehead_color::red"", ""has_under_tail_color::grey"", ""has_under_tail_color::white"", ""has_under_tail_color::red"", ""has_under_tail_color::buff"", ""has_nape_color::brown"", ""has_nape_color::rufous"", ""has_nape_color::black"", ""has_nape_color::buff"", ""has_belly_color::rufous"", ""has_belly_color::white"", ""has_belly_color::red"", ""has_belly_color::buff"", ""has_size::small_(5_-_9_in)"", ""has_shape::perching-like"", ""has_belly_pattern::spotted"", ""has_primary_color::brown"", ""has_primary_color::rufous"", ""has_primary_color::red"", ""has_primary_color::buff"", ""has_leg_color::brown"", ""has_leg_color::rufous"", ""has_leg_color::black"", ""has_leg_color::red"", ""has_bill_color::brown"", ""has_bill_color::grey"", ""has_bill_color::buff"", ""has_crown_color::rufous"", ""has_crown_color::black"", ""has_crown_color::red"", ""has_wing_pattern::striped""]"
1950,"[8, 11, 23, 26, 38, 41, 52, 53, 58, 60, 72, 75, 81, 91, 93, 96, 107, 118, 119, 122, 134, 146, 152, 154, 166, 169, 173, 181, 184, 196, 199, 210, 211, 213, 219, 236, 240, 244, 248, 250, 262, 269, 274, 290, 295, 307, 312]","[""has_bill_shape::cone"", ""has_wing_color::brown"", ""has_wing_color::red"", ""has_upperparts_color::brown"", ""has_upperparts_color::red"", ""has_underparts_color::brown"", ""has_underparts_color::white"", ""has_underparts_color::red"", ""has_breast_pattern::multi-colored"", ""has_back_color::brown"", ""has_back_color::red"", ""has_tail_shape::rounded_tail"", ""has_upper_tail_color::brown"", ""has_upper_tail_color::black"", ""has_upper_tail_color::red"", ""has_head_pattern::malar"", ""has_breast_color::brown"", ""has_breast_color::white"", ""has_breast_color::red"", ""has_throat_color::brown"", ""has_throat_color::red"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::brown"", ""has_forehead_color::red"", ""has_under_tail_color::brown"", ""has_under_tail_color::grey"", ""has_under_tail_color::red"", ""has_nape_color::brown"", ""has_nape_color::red"", ""has_belly_color::brown"", ""has_belly_color::white"", ""has_belly_color::red"", ""has_wing_shape::rounded-wings"", ""has_size::small_(5_-_9_in)"", ""has_shape::perching-like"", ""has_back_pattern::multi-colored"", ""has_tail_pattern::multi-colored"", ""has_belly_pattern::multi-colored"", ""has_primary_color::brown"", ""has_primary_color::red"", ""has_leg_color::grey"", ""has_leg_color::orange"", ""has_bill_color::black"", ""has_crown_color::brown"", ""has_crown_color::red"", ""has_wing_pattern::multi-colored""]"
1951,"[8, 11, 14, 21, 24, 26, 29, 36, 39, 52, 53, 54, 57, 60, 63, 70, 76, 81, 93, 96, 110, 118, 119, 125, 146, 152, 166, 173, 180, 182, 184, 197, 210, 212, 216, 222, 236, 239, 243, 247, 262, 263, 265, 293, 298, 311]","[""has_bill_shape::cone"", ""has_wing_color::brown"", ""has_wing_color::rufous"", ""has_wing_color::black"", ""has_wing_color::buff"", ""has_upperparts_color::brown"", ""has_upperparts_color::rufous"", ""has_upperparts_color::black"", ""has_upperparts_color::buff"", ""has_underparts_color::white"", ""has_underparts_color::red"", ""has_underparts_color::buff"", ""has_breast_pattern::striped"", ""has_back_color::brown"", ""has_back_color::rufous"", ""has_back_color::black"", ""has_tail_shape::notched_tail"", ""has_upper_tail_color::brown"", ""has_upper_tail_color::red"", ""has_head_pattern::malar"", ""has_breast_color::rufous"", ""has_breast_color::white"", ""has_breast_color::red"", ""has_throat_color::rufous"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::red"", ""has_under_tail_color::grey"", ""has_under_tail_color::white"", ""has_under_tail_color::buff"", ""has_nape_color::brown"", ""has_nape_color::buff"", ""has_belly_color::white"", ""has_belly_color::buff"", ""has_wing_shape::tapered-wings"", ""has_size::very_small_(3_-_5_in)"", ""has_shape::perching-like"", ""has_back_pattern::striped"", ""has_tail_pattern::striped"", ""has_belly_pattern::striped"", ""has_primary_color::red"", ""has_primary_color::buff"", ""has_leg_color::brown"", ""has_bill_color::buff"", ""has_crown_color::rufous"", ""has_wing_pattern::striped""]"
1952,"[8, 23, 24, 38, 39, 53, 54, 55, 72, 73, 76, 93, 94, 102, 119, 134, 146, 152, 166, 167, 181, 182, 196, 197, 211, 212, 214, 222, 236, 240, 244, 247, 262, 263, 278, 292, 293, 307, 312]","[""has_bill_shape::cone"", ""has_wing_color::red"", ""has_wing_color::buff"", ""has_upperparts_color::red"", ""has_upperparts_color::buff"", ""has_underparts_color::red"", ""has_underparts_color::buff"", ""has_breast_pattern::solid"", ""has_back_color::red"", ""has_back_color::buff"", ""has_tail_shape::notched_tail"", ""has_upper_tail_color::red"", ""has_upper_tail_color::buff"", ""has_head_pattern::plain"", ""has_breast_color::red"", ""has_throat_color::red"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::red"", ""has_forehead_color::buff"", ""has_under_tail_color::red"", ""has_under_tail_color::buff"", ""has_nape_color::red"", ""has_nape_color::buff"", ""has_belly_color::red"", ""has_belly_color::buff"", ""has_wing_shape::pointed-wings"", ""has_size::very_small_(3_-_5_in)"", ""has_shape::perching-like"", ""has_back_pattern::multi-colored"", ""has_tail_pattern::multi-colored"", ""has_belly_pattern::striped"", ""has_primary_color::red"", ""has_primary_color::buff"", ""has_leg_color::buff"", ""has_bill_color::red"", ""has_bill_color::buff"", ""has_crown_color::red"", ""has_wing_pattern::multi-colored""]"
1953,"[7, 14, 21, 22, 27, 29, 42, 44, 52, 55, 61, 63, 76, 105, 110, 118, 123, 125, 146, 152, 155, 157, 170, 172, 180, 185, 187, 202, 210, 215, 219, 230, 237, 244, 245, 253, 260, 261, 278, 293, 312]","[""has_bill_shape::all-purpose"", ""has_wing_color::rufous"", ""has_wing_color::black"", ""has_wing_color::white"", ""has_upperparts_color::iridescent"", ""has_upperparts_color::rufous"", ""has_underparts_color::iridescent"", ""has_underparts_color::rufous"", ""has_underparts_color::white"", ""has_breast_pattern::solid"", ""has_back_color::iridescent"", ""has_back_color::rufous"", ""has_tail_shape::notched_tail"", ""has_head_pattern::capped"", ""has_breast_color::rufous"", ""has_breast_color::white"", ""has_throat_color::iridescent"", ""has_throat_color::rufous"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::iridescent"", ""has_forehead_color::rufous"", ""has_under_tail_color::iridescent"", ""has_under_tail_color::rufous"", ""has_under_tail_color::white"", ""has_nape_color::iridescent"", ""has_nape_color::rufous"", ""has_belly_color::rufous"", ""has_belly_color::white"", ""has_wing_shape::broad-wings"", ""has_size::small_(5_-_9_in)"", ""has_shape::pigeon-like"", ""has_back_pattern::solid"", ""has_tail_pattern::multi-colored"", ""has_belly_pattern::solid"", ""has_primary_color::rufous"", ""has_primary_color::black"", ""has_primary_color::white"", ""has_leg_color::buff"", ""has_bill_color::buff"", ""has_wing_pattern::multi-colored""]"
1954,"[7, 14, 21, 24, 29, 36, 37, 39, 44, 54, 57, 63, 73, 78, 84, 92, 94, 96, 110, 120, 125, 146, 152, 157, 172, 179, 182, 187, 197, 202, 212, 216, 221, 230, 240, 247, 253, 275, 276, 278, 284, 298]","[""has_bill_shape::all-purpose"", ""has_wing_color::rufous"", ""has_wing_color::black"", ""has_wing_color::buff"", ""has_upperparts_color::rufous"", ""has_upperparts_color::black"", ""has_upperparts_color::white"", ""has_upperparts_color::buff"", ""has_underparts_color::rufous"", ""has_underparts_color::buff"", ""has_breast_pattern::striped"", ""has_back_color::rufous"", ""has_back_color::buff"", ""has_tail_shape::pointed_tail"", ""has_upper_tail_color::rufous"", ""has_upper_tail_color::white"", ""has_upper_tail_color::buff"", ""has_head_pattern::malar"", ""has_breast_color::rufous"", ""has_breast_color::buff"", ""has_throat_color::rufous"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::rufous"", ""has_under_tail_color::rufous"", ""has_under_tail_color::black"", ""has_under_tail_color::buff"", ""has_nape_color::rufous"", ""has_nape_color::buff"", ""has_belly_color::rufous"", ""has_belly_color::buff"", ""has_wing_shape::tapered-wings"", ""has_size::medium_(9_-_16_in)"", ""has_shape::pigeon-like"", ""has_back_pattern::multi-colored"", ""has_belly_pattern::striped"", ""has_primary_color::rufous"", ""has_leg_color::black"", ""has_leg_color::white"", ""has_leg_color::buff"", ""has_bill_color::grey"", ""has_crown_color::rufous""]"
1955,"[8, 11, 22, 26, 37, 38, 41, 52, 55, 60, 71, 76, 81, 102, 107, 118, 134, 146, 152, 166, 169, 184, 196, 199, 210, 214, 219, 236, 240, 241, 248, 250, 261, 262, 265, 280, 307, 312]","[""has_bill_shape::cone"", ""has_wing_color::brown"", ""has_wing_color::white"", ""has_upperparts_color::brown"", ""has_upperparts_color::white"", ""has_upperparts_color::red"", ""has_underparts_color::brown"", ""has_underparts_color::white"", ""has_breast_pattern::solid"", ""has_back_color::brown"", ""has_back_color::white"", ""has_tail_shape::notched_tail"", ""has_upper_tail_color::brown"", ""has_head_pattern::plain"", ""has_breast_color::brown"", ""has_breast_color::white"", ""has_throat_color::red"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::red"", ""has_under_tail_color::brown"", ""has_nape_color::brown"", ""has_nape_color::red"", ""has_belly_color::brown"", ""has_belly_color::white"", ""has_wing_shape::pointed-wings"", ""has_size::small_(5_-_9_in)"", ""has_shape::perching-like"", ""has_back_pattern::multi-colored"", ""has_tail_pattern::solid"", ""has_belly_pattern::multi-colored"", ""has_primary_color::brown"", ""has_primary_color::white"", ""has_primary_color::red"", ""has_leg_color::brown"", ""has_bill_color::brown"", ""has_crown_color::red"", ""has_wing_pattern::multi-colored""]"
1956,"[8, 11, 26, 52, 58, 60, 75, 101, 119, 134, 146, 152, 166, 169, 184, 196, 210, 215, 222, 236, 240, 241, 248, 261, 262, 275, 284, 307, 311]","[""has_bill_shape::cone"", ""has_wing_color::brown"", ""has_upperparts_color::brown"", ""has_underparts_color::white"", ""has_breast_pattern::multi-colored"", ""has_back_color::brown"", ""has_tail_shape::rounded_tail"", ""has_head_pattern::eyering"", ""has_breast_color::red"", ""has_throat_color::red"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::red"", ""has_under_tail_color::brown"", ""has_nape_color::brown"", ""has_nape_color::red"", ""has_belly_color::white"", ""has_wing_shape::broad-wings"", ""has_size::very_small_(3_-_5_in)"", ""has_shape::perching-like"", ""has_back_pattern::multi-colored"", ""has_tail_pattern::solid"", ""has_belly_pattern::multi-colored"", ""has_primary_color::white"", ""has_primary_color::red"", ""has_leg_color::black"", ""has_bill_color::grey"", ""has_crown_color::red"", ""has_wing_pattern::striped""]"
1957,"[8, 11, 22, 26, 37, 50, 52, 58, 60, 73, 78, 96, 116, 120, 131, 133, 146, 152, 154, 163, 169, 180, 184, 193, 195, 208, 212, 213, 219, 236, 240, 244, 248, 250, 259, 265, 280, 295, 303, 311]","[""has_bill_shape::cone"", ""has_wing_color::brown"", ""has_wing_color::white"", ""has_upperparts_color::brown"", ""has_upperparts_color::white"", ""has_underparts_color::orange"", ""has_underparts_color::white"", ""has_breast_pattern::multi-colored"", ""has_back_color::brown"", ""has_back_color::buff"", ""has_tail_shape::pointed_tail"", ""has_head_pattern::malar"", ""has_breast_color::orange"", ""has_breast_color::buff"", ""has_throat_color::orange"", ""has_throat_color::white"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::brown"", ""has_forehead_color::orange"", ""has_under_tail_color::brown"", ""has_under_tail_color::white"", ""has_nape_color::brown"", ""has_nape_color::orange"", ""has_nape_color::white"", ""has_belly_color::orange"", ""has_belly_color::buff"", ""has_wing_shape::rounded-wings"", ""has_size::small_(5_-_9_in)"", ""has_shape::perching-like"", ""has_back_pattern::multi-colored"", ""has_tail_pattern::multi-colored"", ""has_belly_pattern::multi-colored"", ""has_primary_color::brown"", ""has_primary_color::orange"", ""has_leg_color::brown"", ""has_bill_color::brown"", ""has_crown_color::brown"", ""has_crown_color::pink"", ""has_wing_pattern::striped""]"
1958,"[8, 11, 14, 26, 29, 60, 63, 76, 81, 102, 125, 146, 152, 157, 169, 187, 222, 235, 240, 241, 253, 275, 283, 290, 298, 312]","[""has_bill_shape::cone"", ""has_wing_color::brown"", ""has_wing_color::rufous"", ""has_upperparts_color::brown"", ""has_upperparts_color::rufous"", ""has_back_color::brown"", ""has_back_color::rufous"", ""has_tail_shape::notched_tail"", ""has_upper_tail_color::brown"", ""has_head_pattern::plain"", ""has_throat_color::rufous"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::rufous"", ""has_under_tail_color::brown"", ""has_nape_color::rufous"", ""has_size::very_small_(3_-_5_in)"", ""has_shape::swallow-like"", ""has_back_pattern::multi-colored"", ""has_tail_pattern::solid"", ""has_primary_color::rufous"", ""has_leg_color::black"", ""has_bill_color::rufous"", ""has_bill_color::black"", ""has_crown_color::rufous"", ""has_wing_pattern::multi-colored""]"
1959,"[8, 11, 23, 26, 30, 38, 52, 53, 57, 60, 72, 76, 93, 100, 119, 134, 146, 152, 158, 166, 169, 173, 188, 196, 210, 211, 214, 219, 236, 239, 243, 247, 250, 262, 269, 277, 284, 293, 307, 311]","[""has_bill_shape::cone"", ""has_wing_color::brown"", ""has_wing_color::red"", ""has_upperparts_color::brown"", ""has_upperparts_color::grey"", ""has_upperparts_color::red"", ""has_underparts_color::white"", ""has_underparts_color::red"", ""has_breast_pattern::striped"", ""has_back_color::brown"", ""has_back_color::red"", ""has_tail_shape::notched_tail"", ""has_upper_tail_color::red"", ""has_head_pattern::eyebrow"", ""has_breast_color::red"", ""has_throat_color::red"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::grey"", ""has_forehead_color::red"", ""has_under_tail_color::brown"", ""has_under_tail_color::grey"", ""has_nape_color::grey"", ""has_nape_color::red"", ""has_belly_color::white"", ""has_belly_color::red"", ""has_wing_shape::pointed-wings"", ""has_size::small_(5_-_9_in)"", ""has_shape::perching-like"", ""has_back_pattern::striped"", ""has_tail_pattern::striped"", ""has_belly_pattern::striped"", ""has_primary_color::brown"", ""has_primary_color::red"", ""has_leg_color::grey"", ""has_leg_color::red"", ""has_bill_color::grey"", ""has_bill_color::buff"", ""has_crown_color::red"", ""has_wing_pattern::striped""]"
1960,"[8, 11, 24, 26, 39, 44, 52, 53, 54, 55, 76, 102, 110, 119, 125, 134, 146, 152, 157, 166, 169, 182, 187, 196, 210, 211, 212, 219, 236, 244, 248, 250, 253, 262, 263, 265, 275, 284, 293, 298, 307, 312]","[""has_bill_shape::cone"", ""has_wing_color::brown"", ""has_wing_color::buff"", ""has_upperparts_color::brown"", ""has_upperparts_color::buff"", ""has_underparts_color::rufous"", ""has_underparts_color::white"", ""has_underparts_color::red"", ""has_underparts_color::buff"", ""has_breast_pattern::solid"", ""has_tail_shape::notched_tail"", ""has_head_pattern::plain"", ""has_breast_color::rufous"", ""has_breast_color::red"", ""has_throat_color::rufous"", ""has_throat_color::red"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::rufous"", ""has_forehead_color::red"", ""has_under_tail_color::brown"", ""has_under_tail_color::buff"", ""has_nape_color::rufous"", ""has_nape_color::red"", ""has_belly_color::white"", ""has_belly_color::red"", ""has_belly_color::buff"", ""has_size::small_(5_-_9_in)"", ""has_shape::perching-like"", ""has_tail_pattern::multi-colored"", ""has_belly_pattern::multi-colored"", ""has_primary_color::brown"", ""has_primary_color::rufous"", ""has_primary_color::red"", ""has_primary_color::buff"", ""has_leg_color::brown"", ""has_leg_color::black"", ""has_bill_color::grey"", ""has_bill_color::buff"", ""has_crown_color::rufous"", ""has_crown_color::red"", ""has_wing_pattern::multi-colored""]"
1961,"[8, 15, 21, 22, 30, 36, 38, 51, 52, 53, 58, 64, 70, 72, 76, 96, 111, 117, 119, 132, 134, 146, 152, 164, 166, 194, 196, 209, 211, 214, 222, 236, 239, 248, 260, 262, 275, 290, 305, 307, 312]","[""has_bill_shape::cone"", ""has_wing_color::grey"", ""has_wing_color::black"", ""has_wing_color::white"", ""has_upperparts_color::grey"", ""has_upperparts_color::black"", ""has_upperparts_color::red"", ""has_underparts_color::black"", ""has_underparts_color::white"", ""has_underparts_color::red"", ""has_breast_pattern::multi-colored"", ""has_back_color::grey"", ""has_back_color::black"", ""has_back_color::red"", ""has_tail_shape::notched_tail"", ""has_head_pattern::malar"", ""has_breast_color::grey"", ""has_breast_color::black"", ""has_breast_color::red"", ""has_throat_color::black"", ""has_throat_color::red"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::black"", ""has_forehead_color::red"", ""has_nape_color::black"", ""has_nape_color::red"", ""has_belly_color::black"", ""has_belly_color::red"", ""has_wing_shape::pointed-wings"", ""has_size::very_small_(3_-_5_in)"", ""has_shape::perching-like"", ""has_back_pattern::striped"", ""has_belly_pattern::multi-colored"", ""has_primary_color::black"", ""has_primary_color::red"", ""has_leg_color::black"", ""has_bill_color::black"", ""has_crown_color::black"", ""has_crown_color::red"", ""has_wing_pattern::multi-colored""]"
1962,"[8, 21, 23, 30, 36, 38, 52, 53, 58, 64, 70, 76, 96, 118, 119, 133, 134, 146, 152, 166, 188, 196, 210, 211, 214, 222, 236, 239, 244, 248, 260, 261, 262, 274, 284, 307, 312]","[""has_bill_shape::cone"", ""has_wing_color::black"", ""has_wing_color::red"", ""has_upperparts_color::grey"", ""has_upperparts_color::black"", ""has_upperparts_color::red"", ""has_underparts_color::white"", ""has_underparts_color::red"", ""has_breast_pattern::multi-colored"", ""has_back_color::grey"", ""has_back_color::black"", ""has_tail_shape::notched_tail"", ""has_head_pattern::malar"", ""has_breast_color::white"", ""has_breast_color::red"", ""has_throat_color::white"", ""has_throat_color::red"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::red"", ""has_nape_color::grey"", ""has_nape_color::red"", ""has_belly_color::white"", ""has_belly_color::red"", ""has_wing_shape::pointed-wings"", ""has_size::very_small_(3_-_5_in)"", ""has_shape::perching-like"", ""has_back_pattern::striped"", ""has_tail_pattern::multi-colored"", ""has_belly_pattern::multi-colored"", ""has_primary_color::black"", ""has_primary_color::white"", ""has_primary_color::red"", ""has_leg_color::orange"", ""has_bill_color::grey"", ""has_crown_color::red"", ""has_wing_pattern::multi-colored""]"
1963,"[8, 14, 21, 29, 36, 44, 52, 55, 76, 101, 110, 118, 125, 146, 152, 157, 169, 180, 187, 202, 210, 214, 222, 236, 241, 248, 253, 275, 293, 298, 312]","[""has_bill_shape::cone"", ""has_wing_color::rufous"", ""has_wing_color::black"", ""has_upperparts_color::rufous"", ""has_upperparts_color::black"", ""has_underparts_color::rufous"", ""has_underparts_color::white"", ""has_breast_pattern::solid"", ""has_tail_shape::notched_tail"", ""has_head_pattern::eyering"", ""has_breast_color::rufous"", ""has_breast_color::white"", ""has_throat_color::rufous"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::rufous"", ""has_under_tail_color::brown"", ""has_under_tail_color::white"", ""has_nape_color::rufous"", ""has_belly_color::rufous"", ""has_belly_color::white"", ""has_wing_shape::pointed-wings"", ""has_size::very_small_(3_-_5_in)"", ""has_shape::perching-like"", ""has_tail_pattern::solid"", ""has_belly_pattern::multi-colored"", ""has_primary_color::rufous"", ""has_leg_color::black"", ""has_bill_color::buff"", ""has_crown_color::rufous"", ""has_wing_pattern::multi-colored""]"
1964,"[8, 15, 23, 30, 38, 53, 55, 64, 72, 78, 85, 93, 102, 119, 134, 146, 152, 166, 173, 181, 188, 196, 211, 219, 236, 237, 241, 245, 254, 262, 269, 277, 284, 292, 307, 309]","[""has_bill_shape::cone"", ""has_wing_color::grey"", ""has_wing_color::red"", ""has_upperparts_color::grey"", ""has_upperparts_color::red"", ""has_underparts_color::red"", ""has_breast_pattern::solid"", ""has_back_color::grey"", ""has_back_color::red"", ""has_tail_shape::pointed_tail"", ""has_upper_tail_color::grey"", ""has_upper_tail_color::red"", ""has_head_pattern::plain"", ""has_breast_color::red"", ""has_throat_color::red"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::red"", ""has_under_tail_color::grey"", ""has_under_tail_color::red"", ""has_nape_color::grey"", ""has_nape_color::red"", ""has_belly_color::red"", ""has_size::small_(5_-_9_in)"", ""has_shape::perching-like"", ""has_back_pattern::solid"", ""has_tail_pattern::solid"", ""has_belly_pattern::solid"", ""has_primary_color::grey"", ""has_primary_color::red"", ""has_leg_color::grey"", ""has_leg_color::red"", ""has_bill_color::grey"", ""has_bill_color::red"", ""has_crown_color::red"", ""has_wing_pattern::solid""]"
1965,"[12, 27, 42, 60, 76, 108, 125, 146, 157, 180, 200, 216, 221, 230, 251, 265, 291, 298, 310]","[""has_wing_color::iridescent"", ""has_upperparts_color::iridescent"", ""has_underparts_color::iridescent"", ""has_back_color::brown"", ""has_tail_shape::notched_tail"", ""has_breast_color::iridescent"", ""has_throat_color::rufous"", ""has_eye_color::black"", ""has_forehead_color::rufous"", ""has_under_tail_color::white"", ""has_belly_color::iridescent"", ""has_wing_shape::tapered-wings"", ""has_size::medium_(9_-_16_in)"", ""has_shape::pigeon-like"", ""has_primary_color::iridescent"", ""has_leg_color::brown"", ""has_bill_color::white"", ""has_crown_color::rufous"", ""has_wing_pattern::spotted""]"
1966,"[8, 23, 24, 38, 39, 72, 76, 93, 102, 134, 146, 152, 166, 196, 219, 236, 237, 262, 263, 273, 293, 307, 309]","[""has_bill_shape::cone"", ""has_wing_color::red"", ""has_wing_color::buff"", ""has_upperparts_color::red"", ""has_upperparts_color::buff"", ""has_back_color::red"", ""has_tail_shape::notched_tail"", ""has_upper_tail_color::red"", ""has_head_pattern::plain"", ""has_throat_color::red"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::red"", ""has_nape_color::red"", ""has_size::small_(5_-_9_in)"", ""has_shape::perching-like"", ""has_back_pattern::solid"", ""has_primary_color::red"", ""has_primary_color::buff"", ""has_leg_color::pink"", ""has_bill_color::buff"", ""has_crown_color::red"", ""has_wing_pattern::solid""]"
1967,"[8, 11, 24, 26, 46, 53, 54, 58, 96, 110, 119, 133, 135, 146, 152, 157, 166, 169, 182, 184, 204, 212, 219, 236, 248, 250, 253, 262, 265, 281, 293, 298, 307]","[""has_bill_shape::cone"", ""has_wing_color::brown"", ""has_wing_color::buff"", ""has_upperparts_color::brown"", ""has_underparts_color::yellow"", ""has_underparts_color::red"", ""has_underparts_color::buff"", ""has_breast_pattern::multi-colored"", ""has_head_pattern::malar"", ""has_breast_color::rufous"", ""has_breast_color::red"", ""has_throat_color::white"", ""has_throat_color::buff"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::rufous"", ""has_forehead_color::red"", ""has_under_tail_color::brown"", ""has_under_tail_color::buff"", ""has_nape_color::brown"", ""has_belly_color::yellow"", ""has_belly_color::buff"", ""has_size::small_(5_-_9_in)"", ""has_shape::perching-like"", ""has_belly_pattern::multi-colored"", ""has_primary_color::brown"", ""has_primary_color::rufous"", ""has_primary_color::red"", ""has_leg_color::brown"", ""has_bill_color::iridescent"", ""has_bill_color::buff"", ""has_crown_color::rufous"", ""has_crown_color::red""]"
1968,"[8, 19, 34, 49, 55, 68, 76, 101, 102, 115, 130, 146, 152, 162, 177, 179, 192, 207, 213, 219, 236, 237, 243, 245, 258, 273, 274, 290, 303, 309]","[""has_bill_shape::cone"", ""has_wing_color::pink"", ""has_upperparts_color::pink"", ""has_underparts_color::pink"", ""has_breast_pattern::solid"", ""has_back_color::pink"", ""has_tail_shape::notched_tail"", ""has_head_pattern::eyering"", ""has_head_pattern::plain"", ""has_breast_color::pink"", ""has_throat_color::pink"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::pink"", ""has_under_tail_color::pink"", ""has_under_tail_color::black"", ""has_nape_color::pink"", ""has_belly_color::pink"", ""has_wing_shape::rounded-wings"", ""has_size::small_(5_-_9_in)"", ""has_shape::perching-like"", ""has_back_pattern::solid"", ""has_tail_pattern::striped"", ""has_belly_pattern::solid"", ""has_primary_color::pink"", ""has_leg_color::pink"", ""has_leg_color::orange"", ""has_bill_color::black"", ""has_crown_color::pink"", ""has_wing_pattern::solid""]"
